FM_PORT_CD,TO_PORT_CD,DSTN,ECA_DSTN
ITSAL,ITLIV,319,0
ITSAL,ITSPE,349,0
ITSPE,ESBCN,373,0
ITSPE,ESVLC,529,0
ITSPE,FRFOS,251,0
ITSPE,ITGOA,43,0
ITSPE,ITSAL,400,0
ITSPE,ITVDL,73,0
ITVDL,ESVLC,493,0
ITVDL,FRFOS,208,0
ITVDL,SGSIN,11513,0
JOAQJ,EGSOK,284,0
JPNGO,CNNBO,908,0
JPNGO,CNNGB,908,0
JPNGO,CNSHG,858,0
JPNGO,CNTAO,964,0
JPNGO,CNXMN,1204,0
JPNGO,JPSMZ,102,0
JPNGO,JPTYO,169,0
JPNGO,JPUKB,197,0
JPNGO,KRPUS,519,0
JPNGO,SGSIN,2755,0
JPNGO,TWKHH,1218,0
JPNGO,USLAX,4944,394
JPNGO,USTIW,4362,457
JPNGO,VNHPH,1920,0
JPSDJ,USLAX,4661,373
JPSMZ,CNTAO,1087,0
JPSMZ,CNXMN,1271,0
JPSMZ,JPNGO,112,0
JPSMZ,JPTYO,113,0
JPSMZ,JPUKB,263,0
JPSMZ,JPYUR,245,0
JPSMZ,NLRTM,14362,403
JPSMZ,SGSIN,2819,0
JPSMZ,TWKHH,1284,0
JPTYO,CAVAN,4225,458
JPTYO,CNNBO,1022,0
JPTYO,CNNGB,1022,0
JPTYO,CNSHA,974,0
JPTYO,CNSHG,962,0
JPTYO,CNTAO,1146,0
JPTYO,CNXMN,1330,0
JPTYO,CNZOS,998,0
JPTYO,HKHKG,1580,0
JPTYO,JPNGO,169,0
JPTYO,JPSDJ,273,0
JPTYO,JPSMZ,113,0
JPTYO,JPUKB,323,0
JPTYO,JPYUR,305,0
JPTYO,KRPUS,642,0
JPTYO,PAPCA,7732,0
JPTYO,PAPCN,7732,0
JPTYO,SGSIN,2872,0
JPTYO,TWKHH,1349,0
JPTYO,USLAX,4847,373
JPTYO,USLGB,4849,373
JPTYO,USTIW,4229,457
JPUKB,CNNBO,794,0
JPUKB,CNNGB,794,0
JPUKB,CNSHA,747,0
JPUKB,CNSHG,757,0
JPUKB,CNTAO,861,0
JPUKB,CNXMN,1102,0
JPUKB,CNZOS,786,0
JPUKB,HKHKG,1352,0
JPUKB,JPNGO,197,0
JPUKB,JPSDJ,543,0
JPUKB,JPSMZ,263,0
JPUKB,JPTYO,323,0
JPUKB,KRPUS,327,0
JPUKB,SGSIN,2668,0
JPUKB,THLCH,2691,0
JPUKB,TWKHH,1122,0
JPUKB,USLAX,5098,373
JPUKB,VNHPH,1820,0
JPYOK,CNYTN,1589,0
JPYOK,HKHKG,1579,0
JPYOK,TWKHH,1349,0
JPYUR,JPUKB,27,0
KRINC,CNNGB,510,0
KRINC,CNSHA,455,0
KRINC,CNTAO,328,0
